sessions_ttl,clicks_avg,cancellations_ttl,flights_booked_ttl,hotels_booked_ttl,nightsPerTrip_avg,lead_time_flight_days_avg,lead_time_flight_days_std,business_weekday_rate,hotel_discount_proportion_avg,hotel_discount_amount_avg,winter_escape_rate,recency_days_flight,unique_destinations_count,winter_travel_rate,summer_travel_rate,hotel_price_avg,tropics_rate,trips_per_active_month,revenue_total_user,total_discount_savings,climate_segment_mode_kalt_reise,climate_segment_mode_klimaneutral,climate_segment_mode_tropen_reise,climate_segment_mode_warm_reise,distance_category_mode_global,distance_category_mode_lokal,distance_category_mode_regional,segment_rule,user_id
8,9.125,0,2.0,2.0,1.0,6.5,2.1213203435596424,0.0,0.0,0.0,0.0,456.0,2.0,0.0,0.0,90.0,0.5,1.0,1044.09,0.0,True,False,False,False,False,False,True,None,94883
8,16.375,0,1.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,401.0,1.0,0.0,1.0,198.5,0.0,1.0,586.91,0.0,True,False,False,False,False,False,True,None,101486
8,15.75,0,5.0,5.0,3.8,5.6,2.701851217221259,0.6,0.0,0.0,0.0,384.0,5.0,0.2,0.2,136.0,0.0,1.25,1922.66,4.9670000000000005,False,True,False,False,False,True,False,Frequent Traveler,101961
8,30.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,Dreamer,106907
8,20.5,0,3.0,4.0,5.5,8.666666666666666,0.5773502691896258,0.0,0.5,0.15,0.0,380.0,3.0,0.0,0.3333333333333333,227.25,0.3333333333333333,1.5,3248.29,0.0,True,False,False,False,False,True,False,VIP,118043
9,17.666666666666668,0,3.0,3.0,1.6666666666666667,8.333333333333334,1.5275252316519468,0.6666666666666666,0.0,0.0,0.0,398.0,3.0,0.3333333333333333,0.3333333333333333,123.66666666666669,0.0,1.0,2124.32,106.557,True,False,False,False,False,False,True,VIP,125845
8,9.125,0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,470.0,1.0,0.0,0.0,0.0,0.0,1.0,423.51,0.0,True,False,False,False,True,False,False,None,133058
8,18.625,0,1.0,1.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,397.0,1.0,0.0,1.0,213.0,0.0,1.0,580.8299999999999,0.0,True,False,False,False,False,False,True,None,152583
8,18.75,0,3.0,3.0,1.3333333333333333,8.666666666666666,1.5275252316519468,0.3333333333333333,0.0,0.0,0.0,350.0,3.0,0.3333333333333333,0.3333333333333333,207.0,0.0,1.0,1277.87,0.0,True,False,False,False,False,False,True,None,153982
8,10.75,0,1.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,373.0,1.0,0.0,1.0,214.0,0.0,1.0,307.62,0.0,True,False,False,False,False,False,True,None,160754
8,11.125,0,1.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,514.0,1.0,1.0,0.0,233.0,0.0,1.0,561.3199999999999,16.416,False,True,False,False,False,True,False,None,164522
8,7.875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,None,167852
8,55.75,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,Dreamer,171470
