trip_id,hotel_name,nights,rooms,check_in_time,check_out_time,hotel_per_room_usd,stay_duration_calc,stay_calc
190866-39f7fdf3561541bd990b5bca9c8c18d1,Fairmont - toronto,0,1,2023-03-28 15:57:01.260,2023-03-29 11:00:00,137,0 days 19:02:58.740000,0
204943-104f0428d48b41548c8c62045d2b3af7,Four Seasons - new york,0,1,2023-03-28 15:40:43.050,2023-03-29 11:00:00,53,0 days 19:19:16.950000,0
206011-1eee865398c846379976aa1a8f76608f,Hilton - san jose,0,1,2023-05-09 12:58:05.925,2023-05-10 11:00:00,83,0 days 22:01:54.075000,0
224996-c83b5f33943b4cbf8ec93049c6fb6166,Banyan Tree  - new york,0,1,2023-05-20 18:12:04.095,2023-05-21 11:00:00,231,0 days 16:47:55.905000,0
229330-d4a91967362b4441913d13f5bc8156a3,Extended Stay  - los angeles,0,2,2023-01-29 11:40:26.985,2023-01-29 11:00:00,164,-1 days +23:19:33.015000,-1
290123-7cf9274ec6d24ec99f26586bf5afac14,Crowne Plaza - new york,0,1,2023-01-31 11:52:12.585,2023-01-31 11:00:00,222,-1 days +23:07:47.415000,-1
290123-929ee123c3bd48c2870569e824a22d8b,Four Seasons - denver,0,2,2023-07-19 13:46:35.715,2023-07-20 11:00:00,400,0 days 21:13:24.285000,0
312488-373f10484f764569a69d49d632dbbeaf,Wyndham - fort worth,0,1,2023-07-16 11:49:54.570,2023-07-16 11:00:00,299,-1 days +23:10:05.430000,-1
313724-5ff715143f1d48248171238f11446d82,Fairmont - ottawa,0,1,2023-01-11 12:28:03.090,2023-01-12 11:00:00,175,0 days 22:31:56.910000,0
317688-50bd718819464c08a20116e006d35a32,Rosewood - edmonton,0,1,2023-07-19 15:12:10.485,2023-07-20 11:00:00,102,0 days 19:47:49.515000,0
338086-3f66f30804764be885dc38d4d1f6aaa8,Hyatt - dallas,0,1,2023-01-25 11:20:12.300,2023-01-25 11:00:00,50,-1 days +23:39:47.700000,-1
353271-a9c8df26c411436c922e9e6c60ac468a,Shangri-La - new york,0,2,2023-03-22 10:29:44.520,2023-03-22 11:00:00,136,0 days 00:30:15.480000,0
354050-e6c9a354f6b94221b9dc7b46435ad0ff,Accor - fresno,0,1,2023-04-04 14:58:36.300,2023-04-05 11:00:00,211,0 days 20:01:23.700000,0
361759-d3fcb136635d49248b28c2cdbbb8ec1c,Shangri-La - los angeles,0,1,2023-02-21 17:05:48.075,2023-02-22 11:00:00,88,0 days 17:54:11.925000,0
361759-f10bf23083a24be68fcd9c9cdb996851,Hilton - philadelphia,0,1,2023-04-30 11:33:40.590,2023-04-30 11:00:00,88,-1 days +23:26:19.410000,-1
363535-5a9d4d8bdd0c41d19fe86827d771b70a,Fairmont - montreal,0,2,2023-06-22 11:38:13.695,2023-06-22 11:00:00,123,-1 days +23:21:46.305000,-1
372970-10c42843088b49a6bbb6868fbec5abb0,Rosewood - portland,-1,1,2023-03-12 13:34:49.935,2023-03-12 11:00:00,132,-1 days +21:25:10.065000,-1
382181-9d7f41e0607f492f8801bcdc09bf9bc3,Shangri-La - edmonton,0,1,2023-01-13 13:35:19.410,2023-01-14 11:00:00,248,0 days 21:24:40.590000,0
